ID,PROJECT,FILE,START,END,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,is_long_method
M-008067,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/renderers/TrianglesBatchingColorRenderer.js,16,154,139,20,4,5,5,0,1,0.0,1
M-008107,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,182,431,250,45,5,25,25,1,1,0.0,1
M-008108,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,437,538,102,24,4,3,3,0,1,0.0,1
M-008125,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/TrianglesBatchingLayer.js,855,886,32,6,2,10,10,2,1,0.0,0
M-008228,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesInstancing/TrianglesInstancingLayer.js,624,699,76,27,2,9,9,3,1,0.0,1
M-008283,Xeokit-SDK,src/viewer/scene/model/vbo/VBOSceneModelRenderers.js,118,248,131,15,3,5,5,0,1,0.0,1
M-008286,Xeokit-SDK,src/viewer/scene/model/vbo/VBOSceneModelRenderers.js,417,609,193,51,2,17,17,4,1,0.0,1
M-008324,Xeokit-SDK,src/viewer/scene/nodes/Node.js,571,577,7,2,2,0,0,1,1,0.0,0
M-008389,Xeokit-SDK,src/viewer/scene/paths/CubicBezierCurve.js,172,181,10,1,0,1,1,1,1,0.0,0
M-008399,Xeokit-SDK,src/viewer/scene/paths/Curve.js,111,134,24,7,2,5,5,1,1,0.0,0
M-008550,Xeokit-SDK,src/viewer/scene/scene/Scene.js,2267,2272,6,2,2,1,1,0,1,0.0,0
M-008553,Xeokit-SDK,src/viewer/scene/scene/Scene.js,2369,2375,7,1,2,0,0,2,1,0.0,0
M-008594,Xeokit-SDK,src/viewer/scene/utils/Loader.js,49,52,4,1,0,0,0,1,1,0.0,0
M-008641,Xeokit-SDK,src/viewer/scene/vfc/VFCState.js,136,157,22,6,3,0,0,2,1,0.0,0
M-008646,Xeokit-SDK,src/viewer/scene/vfc/VFCState.js,215,223,9,3,3,2,2,2,1,0.0,0
M-008716,Xeokit-SDK,src/viewer/scene/webgl/occlusion/OcclusionTester.js,192,226,35,5,1,3,3,0,1,0.0,0
M-008797,Xeokit-SDK,src/viewer/scene/webgl/Texture2D.js,203,310,108,22,4,7,7,1,1,0.0,1
M-008817,Xeokit-SDK,src/viewer/Viewer.js,419,506,88,21,5,10,10,1,1,0.0,1
M-008983,PlayCanvas,src/core/math/curve-set.js,114,123,10,2,2,1,1,2,1,0.0,0
M-009089,PlayCanvas,src/core/math/vec2.js,358,363,6,1,0,0,0,2,1,0.0,0
M-009167,PlayCanvas,src/core/preprocessor.js,124,301,178,27,7,2,2,2,1,0.0,1
M-009335,PlayCanvas,src/framework/anim/controller/anim-controller.js,525,606,82,21,7,1,1,1,1,0.0,1
M-009445,PlayCanvas,src/framework/anim/evaluator/anim-evaluator.js,197,284,88,15,6,4,4,2,1,0.0,1
M-009473,PlayCanvas,src/framework/anim/state-graph/anim-state-graph.js,22,126,105,12,9,0,0,1,1,0.0,1
M-009480,PlayCanvas,src/framework/app-base.js,258,614,357,20,5,3,3,1,1,0.0,1
M-009485,PlayCanvas,src/framework/app-base.js,662,665,4,1,0,0,0,0,1,0.0,0
M-009546,PlayCanvas,src/framework/asset/asset-list-loader.js,220,223,4,1,0,0,0,1,1,0.0,0
M-009761,PlayCanvas,src/framework/components/animation/component.js,142,173,32,7,5,2,2,1,1,0.0,0
M-009802,PlayCanvas,src/framework/components/audio-source/component.js,119,157,39,13,6,2,2,3,1,0.0,1
M-009943,PlayCanvas,src/framework/components/camera/component.js,678,695,18,4,2,1,1,1,1,0.0,0
M-009999,PlayCanvas,src/framework/components/collision/component.js,251,283,33,9,2,1,1,3,1,0.0,0
M-010063,PlayCanvas,src/framework/components/collision/trigger.js,131,145,15,3,1,3,3,0,1,0.0,0
M-010283,PlayCanvas,src/framework/components/element/system.js,91,272,182,75,3,3,3,3,1,0.0,1
M-010305,PlayCanvas,src/framework/components/element/text-element.js,323,716,394,58,7,7,7,1,1,0.0,1
M-010316,PlayCanvas,src/framework/components/element/text-element.js,827,1372,546,69,10,12,12,0,1,0.0,1
M-010581,PlayCanvas,src/framework/components/model/component.js,1095,1099,5,2,1,0,0,4,1,0.0,0
M-010752,PlayCanvas,src/framework/components/rigid-body/component.js,490,541,52,10,2,1,1,0,1,0.0,1
M-010854,PlayCanvas,src/framework/components/script/component.js,529,558,30,10,4,0,0,6,1,0.0,0
M-010855,PlayCanvas,src/framework/components/script/component.js,571,582,12,4,1,4,4,1,1,0.0,0
M-010863,PlayCanvas,src/framework/components/script/system.js,32,65,34,1,0,0,0,1,1,0.0,0
M-011096,PlayCanvas,src/framework/components/sprite/component.js,244,249,6,2,1,0,0,1,1,0.0,0
M-011129,PlayCanvas,src/framework/components/sprite/component.js,643,755,113,17,2,1,1,1,1,0.0,1
M-011216,PlayCanvas,src/framework/entity.js,509,530,22,4,2,0,0,0,1,0.0,0
M-011239,PlayCanvas,src/framework/graphics/picker.js,239,321,83,17,8,4,4,3,1,0.0,1
M-011257,PlayCanvas,src/framework/handlers/audio.js,74,78,5,1,0,1,1,1,1,0.0,0
M-011300,PlayCanvas,src/framework/handlers/cubemap.js,93,218,126,32,6,6,6,3,1,0.0,1
M-011357,PlayCanvas,src/framework/handlers/material.js,238,351,114,19,5,5,5,2,1,0.0,1
M-011528,PlayCanvas,src/framework/lightmapper/lightmapper.js,829,837,9,1,0,0,0,2,1,0.0,0
M-011531,PlayCanvas,src/framework/lightmapper/lightmapper.js,910,1142,233,33,10,9,9,3,1,0.0,1
M-011535,PlayCanvas,src/framework/parsers/glb-container-parser.js,7,12,6,1,0,0,0,3,1,0.0,0
M-011582,PlayCanvas,src/framework/parsers/texture/dds.js,33,171,139,29,6,21,21,4,1,0.0,1
M-011831,PlayCanvas,src/platform/audio/channel.js,24,49,26,6,1,0,0,3,1,0.0,0
M-011874,PlayCanvas,src/platform/graphics/blend-state.js,94,101,8,4,0,0,0,11,1,0.0,0
M-012148,PlayCanvas,src/platform/graphics/texture.js,723,805,83,22,5,0,0,2,1,0.0,1
M-012153,PlayCanvas,src/platform/graphics/texture.js,888,991,104,19,7,13,13,0,1,0.0,1
M-012178,PlayCanvas,src/platform/graphics/versioned-object.js,17,20,4,1,0,0,0,0,1,0.0,0
M-012189,PlayCanvas,src/platform/graphics/vertex-format.js,121,193,73,15,3,0,0,3,1,0.0,1
M-012219,PlayCanvas,src/platform/graphics/webgl/webgl-graphics-device.js,314,727,414,38,4,5,5,2,1,0.0,1
M-012260,PlayCanvas,src/platform/graphics/webgl/webgl-graphics-device.js,1881,2021,141,30,6,6,6,3,1,0.0,1
M-012299,PlayCanvas,src/platform/graphics/webgl/webgl-render-target.js,95,225,131,29,4,5,5,2,1,0.0,1
M-012326,PlayCanvas,src/platform/graphics/webgl/webgl-texture.js,284,499,216,45,9,2,2,2,1,0.0,1
M-012328,PlayCanvas,src/platform/graphics/webgl/webgl-vertex-buffer.js,21,24,4,1,0,0,0,0,1,0.0,0
M-012345,PlayCanvas,src/platform/graphics/webgpu/webgpu-debug.js,24,27,4,1,0,0,0,1,1,0.0,0
M-012408,PlayCanvas,src/platform/graphics/webgpu/webgpu-mipmap-renderer.js,59,62,4,1,0,0,0,0,1,0.0,0
M-012461,PlayCanvas,src/platform/graphics/webgpu/webgpu-texture.js,388,416,29,1,0,3,3,4,1,0.0,0
M-012529,PlayCanvas,src/platform/input/keyboard.js,155,168,14,2,1,0,0,0,1,0.0,0
M-012540,PlayCanvas,src/platform/input/mouse-event.js,25,152,128,21,2,0,0,2,1,0.0,0
M-012698,PlayCanvas,src/scene/batching/batch-manager.js,434,547,114,29,6,7,7,4,1,0.0,1
M-012700,PlayCanvas,src/scene/batching/batch-manager.js,628,829,202,32,10,2,2,3,1,0.0,1
M-012787,PlayCanvas,src/scene/composition/layer-composition.js,229,289,61,14,3,2,2,7,1,0.0,1
M-012788,PlayCanvas,src/scene/composition/layer-composition.js,293,322,30,8,4,0,0,2,1,0.0,0
M-012935,PlayCanvas,src/scene/immediate/immediate.js,103,111,9,1,0,0,0,0,1,0.0,0
M-012959,PlayCanvas,src/scene/layer.js,601,624,24,5,4,2,2,2,1,0.0,0
M-012973,PlayCanvas,src/scene/layer.js,857,860,4,1,0,0,0,0,1,0.0,0
M-013074,PlayCanvas,src/scene/lighting/lighting-params.js,143,150,8,2,1,0,0,1,1,0.0,0
M-013103,PlayCanvas,src/scene/lighting/lights-buffer.js,372,377,6,2,2,1,1,3,1,0.0,0
M-013104,PlayCanvas,src/scene/lighting/lights-buffer.js,380,498,119,24,3,8,8,3,1,0.0,1
M-013189,PlayCanvas,src/scene/materials/standard-material-validator.js,67,75,9,2,1,0,0,2,1,0.0,0
M-013190,PlayCanvas,src/scene/materials/standard-material-validator.js,77,179,103,43,6,3,3,1,1,0.0,1
M-013205,PlayCanvas,src/scene/materials/standard-material.js,698,825,128,42,2,2,2,2,1,0.0,1
M-013273,PlayCanvas,src/scene/mesh.js,316,441,126,27,9,10,10,1,1,0.0,1
M-013346,PlayCanvas,src/scene/particle-system/cpu-updater.js,162,464,303,45,5,4,4,8,4,3.5,1
M-013358,PlayCanvas,src/scene/particle-system/particle-emitter.js,560,719,160,39,2,9,9,0,1,0.0,1
M-013365,PlayCanvas,src/scene/particle-system/particle-emitter.js,969,1085,117,18,6,2,2,1,1,0.0,1
M-013371,PlayCanvas,src/scene/particle-system/particle-emitter.js,1211,1278,68,15,1,0,0,0,1,0.0,0
M-013401,PlayCanvas,src/scene/renderer/forward-renderer.js,746,856,111,22,6,2,2,2,1,0.0,1
M-013572,PlayCanvas,src/scene/shader-lib/programs/lit-shader.js,195,400,206,32,3,6,6,3,1,0.0,1
M-013576,PlayCanvas,src/scene/shader-lib/programs/lit-shader.js,446,558,113,37,3,11,11,0,1,0.0,1
M-013577,PlayCanvas,src/scene/shader-lib/programs/lit-shader.js,561,1551,991,314,7,15,15,0,1,0.0,1
M-013599,PlayCanvas,src/scene/shader-lib/programs/standard.js,209,513,305,54,4,12,12,2,3,3.0,1
M-013730,OpenLayers,src/ol/control/MousePosition.js,182,185,4,1,0,1,1,1,1,0.0,0
M-013749,OpenLayers,src/ol/control/OverviewMap.js,556,578,23,4,2,1,1,0,1,0.0,0
M-013767,OpenLayers,src/ol/control/ScaleLine.js,228,358,131,31,3,8,8,0,1,0.0,1
M-013881,OpenLayers,src/ol/format/GML2.js,130,145,16,2,1,1,1,2,1,0.0,0
M-013903,OpenLayers,src/ol/format/GML2.js,614,632,19,2,1,4,4,3,1,0.0,0
M-013988,OpenLayers,src/ol/format/JSONFeature.js,36,41,6,1,0,0,0,2,1,0.0,0
M-014111,OpenLayers,src/ol/format/WKB.js,796,809,14,5,1,2,2,1,1,0.0,0
M-014122,OpenLayers,src/ol/format/WKT.js,217,224,8,2,2,1,1,0,1,0.0,0
M-014135,OpenLayers,src/ol/format/WKT.js,418,426,9,3,2,0,0,0,1,0.0,0
M-014164,OpenLayers,src/ol/format/XMLFeature.js,18,26,9,1,0,0,0,0,1,0.0,0
M-014308,OpenLayers,src/ol/geom/MultiPolygon.js,151,166,16,2,2,3,3,0,1,0.0,0
M-014432,OpenLayers,src/ol/interaction/Draw.js,590,935,346,26,7,1,1,1,1,0.0,1
M-014520,OpenLayers,src/ol/interaction/Modify.js,876,976,101,15,5,3,3,1,1,0.0,1
M-014524,OpenLayers,src/ol/interaction/Modify.js,1165,1300,136,21,7,3,3,3,3,3.0,1
M-014527,OpenLayers,src/ol/interaction/Modify.js,1405,1518,114,24,5,2,2,0,1,0.0,1
M-014577,OpenLayers,src/ol/interaction/Snap.js,458,561,104,14,7,7,7,3,1,0.0,1
M-014655,OpenLayers,src/ol/layer/Graticule.js,789,1003,215,32,3,7,7,4,1,0.0,1
M-014756,OpenLayers,src/ol/Map.js,800,816,17,2,0,6,6,1,1,0.0,0
M-014799,OpenLayers,src/ol/Map.js,1532,1639,108,25,3,3,3,1,1,0.0,1
M-014899,OpenLayers,src/ol/render/canvas/Builder.js,142,156,15,3,3,3,3,2,1,0.0,0
M-014916,OpenLayers,src/ol/render/canvas/BuilderGroup.js,83,102,20,4,1,1,1,2,1,0.0,0
M-014918,OpenLayers,src/ol/render/canvas/Executor.js,229,337,109,24,4,23,23,4,1,0.0,1
M-014925,OpenLayers,src/ol/render/canvas/Executor.js,640,1198,559,83,9,6,6,8,1,0.0,1
M-014946,OpenLayers,src/ol/render/canvas/Immediate.js,489,535,47,10,2,0,0,1,1,0.0,1
M-014979,OpenLayers,src/ol/render/canvas/TextBuilder.js,163,449,287,50,7,5,5,2,1,0.0,1
M-014982,OpenLayers,src/ol/render/canvas/TextBuilder.js,554,659,106,31,3,0,0,2,1,0.0,1
M-015026,OpenLayers,src/ol/render/webgl/MixedGeometryBatch.js,275,428,154,23,5,0,0,6,1,0.0,1
M-015032,OpenLayers,src/ol/render/webgl/VectorStyleRenderer.js,307,338,32,4,0,3,3,2,1,0.0,0
M-015057,OpenLayers,src/ol/renderer/canvas/TileLayer.js,249,573,325,42,11,31,31,2,1,0.0,1
M-015083,OpenLayers,src/ol/renderer/canvas/VectorLayer.js,540,748,209,28,3,26,26,1,1,0.0,1
M-015085,OpenLayers,src/ol/renderer/canvas/VectorTileLayer.js,67,96,30,1,0,0,0,1,1,0.0,0
M-015091,OpenLayers,src/ol/renderer/canvas/VectorTileLayer.js,189,320,132,20,5,12,12,3,1,0.0,1
M-015098,OpenLayers,src/ol/renderer/canvas/VectorTileLayer.js,624,726,103,13,8,14,14,2,1,0.0,1
M-015161,OpenLayers,src/ol/renderer/webgl/TileLayer.js,262,352,91,17,4,8,8,1,1,0.0,1
M-015168,OpenLayers,src/ol/renderer/webgl/TileLayerBase.js,285,404,120,14,8,10,10,5,1,0.0,1
M-015172,OpenLayers,src/ol/renderer/webgl/TileLayerBase.js,521,708,188,18,5,18,18,1,3,3.0,1
M-015224,OpenLayers,src/ol/reproj/Triangulation.js,286,474,189,53,4,4,4,9,1,0.0,1
M-015239,OpenLayers,src/ol/source/Cluster.js,73,144,72,5,2,0,0,1,1,0.0,1
M-015267,OpenLayers,src/ol/source/GeoTIFF.js,513,523,11,3,3,1,1,1,1,0.0,0
M-015268,OpenLayers,src/ol/source/GeoTIFF.js,532,764,233,31,6,6,6,1,1,0.0,1
M-015270,OpenLayers,src/ol/source/GeoTIFF.js,858,966,109,25,9,10,10,2,1,0.0,1
M-015271,OpenLayers,src/ol/source/IIIF.js,66,351,286,61,6,18,18,1,1,0.0,1
M-015286,OpenLayers,src/ol/source/ImageArcGISRest.js,198,204,7,2,1,0,0,1,1,0.0,0
M-015444,OpenLayers,src/ol/source/Vector.js,375,385,11,1,0,0,0,2,1,0.0,0
M-015517,OpenLayers,src/ol/structs/LRUCache.js,28,59,32,2,0,0,0,1,1,0.0,0
M-015538,OpenLayers,src/ol/structs/PriorityQueue.js,74,89,16,2,1,4,4,0,1,0.0,0
M-015572,OpenLayers,src/ol/style/Icon.js,86,281,196,37,6,5,5,1,1,0.0,1
M-015598,OpenLayers,src/ol/style/IconImage.js,157,160,4,2,0,0,0,1,1,0.0,0
M-015661,OpenLayers,src/ol/style/RegularShape.js,517,544,28,5,2,0,0,3,1,0.0,0
M-015701,OpenLayers,src/ol/style/Text.js,214,241,28,7,0,1,1,0,1,0.0,0
M-015820,OpenLayers,src/ol/View.js,615,702,88,19,3,1,1,1,1,0.0,1
M-015855,OpenLayers,src/ol/View.js,1286,1303,18,4,2,0,0,1,1,0.0,0
M-016019,ApexCharts,src/apexcharts.js,684,688,5,1,0,1,1,0,1,0.0,0
M-016021,ApexCharts,src/apexcharts.js,694,697,4,1,0,1,1,1,1,0.0,0
M-016072,ApexCharts,src/charts/common/circle/Helpers.js,9,29,21,2,0,5,5,4,1,0.0,0
M-016097,ApexCharts,src/charts/Pie.js,14,65,52,5,1,1,1,1,1,0.0,1
M-016099,ApexCharts,src/charts/Pie.js,201,411,211,26,5,1,1,2,1,0.0,1
M-016100,ApexCharts,src/charts/Pie.js,413,445,33,2,1,1,1,2,1,0.0,0
M-016101,ApexCharts,src/charts/Pie.js,448,481,34,9,2,0,0,2,1,0.0,1
M-016108,ApexCharts,src/charts/Pie.js,888,934,47,10,2,2,2,4,1,0.0,1
M-016118,ApexCharts,src/charts/Radar.js,488,504,17,5,4,0,0,1,1,0.0,0
M-016123,ApexCharts,src/charts/Radial.js,195,387,193,24,3,0,0,1,1,0.0,1
M-016126,ApexCharts,src/charts/Radial.js,457,466,10,1,0,1,1,1,1,0.0,0
M-016134,ApexCharts,src/charts/Scatter.js,103,261,159,26,5,3,3,7,1,0.0,1
M-016135,ApexCharts,src/charts/Scatter.js,263,270,8,1,0,0,0,1,1,0.0,0
M-016168,ApexCharts,src/modules/annotations/Helpers.js,9,44,36,5,3,0,0,2,1,0.0,0
M-016187,ApexCharts,src/modules/axes/AxesUtils.js,13,113,101,18,5,3,3,7,1,0.0,1
M-016199,ApexCharts,src/modules/axes/Grid.js,206,242,37,14,1,4,4,1,1,0.0,0
M-016200,ApexCharts,src/modules/axes/Grid.js,244,265,22,5,0,4,4,1,1,0.0,0
M-016208,ApexCharts,src/modules/axes/XAxis.js,340,520,181,22,6,2,2,1,1,0.0,1
M-016213,ApexCharts,src/modules/axes/YAxis.js,33,203,171,18,5,1,1,1,1,0.0,1
M-016225,ApexCharts,src/modules/Core.js,129,367,239,27,5,3,3,2,1,0.0,1
M-016245,ApexCharts,src/modules/CoreUtils.js,172,191,20,1,5,2,2,2,1,0.0,0
M-016258,ApexCharts,src/modules/Data.js,24,39,16,6,1,2,2,0,1,0.0,0
M-016261,ApexCharts,src/modules/Data.js,102,190,89,23,5,3,3,2,1,0.0,1
M-016285,ApexCharts,src/modules/dimensions/Grid.js,9,82,74,17,3,4,4,1,1,0.0,0
M-016297,ApexCharts,src/modules/dimensions/XAxis.js,282,372,91,2,4,8,8,1,1,0.0,1
M-016300,ApexCharts,src/modules/dimensions/YAxis.js,124,153,30,1,3,0,0,0,1,0.0,0
M-016313,ApexCharts,src/modules/Exports.js,94,100,7,1,0,2,2,0,1,0.0,0
M-016322,ApexCharts,src/modules/Fill.js,98,204,107,21,2,0,0,1,1,0.0,1
M-016326,ApexCharts,src/modules/Fill.js,314,405,92,19,3,1,1,1,1,0.0,1
M-016344,ApexCharts,src/modules/Graphics.js,47,198,152,14,4,18,18,2,1,0.0,1
M-016348,ApexCharts,src/modules/Graphics.js,275,284,10,3,1,2,2,2,1,0.0,0
M-016353,ApexCharts,src/modules/Graphics.js,347,350,4,1,0,0,0,6,1,0.0,0
M-016358,ApexCharts,src/modules/Graphics.js,546,640,95,23,5,0,0,9,1,0.0,1
M-016377,ApexCharts,src/modules/helpers/UpdateHelpers.js,8,11,4,1,0,0,0,1,1,0.0,0
M-016388,ApexCharts,src/modules/legend/Helpers.js,96,100,5,1,0,1,1,0,1,0.0,0
M-016395,ApexCharts,src/modules/legend/Legend.js,68,305,238,54,6,0,0,0,1,0.0,1
M-016399,ApexCharts,src/modules/legend/Legend.js,404,430,27,8,2,2,2,1,1,0.0,0
M-016409,ApexCharts,src/modules/Range.js,25,174,150,41,9,3,3,4,3,3.0,1
M-016411,ApexCharts,src/modules/Range.js,314,440,127,35,8,2,2,0,1,0.0,1
M-016423,ApexCharts,src/modules/Scales.js,185,225,41,4,2,6,6,3,1,0.0,0
M-016446,ApexCharts,src/modules/Series.js,384,388,5,1,0,1,1,0,1,0.0,0
M-016466,ApexCharts,src/modules/settings/Defaults.js,285,331,47,1,0,0,0,0,1,0.0,1
M-016486,ApexCharts,src/modules/settings/Defaults.js,1043,1076,34,1,0,0,0,0,1,0.0,0
M-016488,ApexCharts,src/modules/settings/Globals.js,4,72,69,1,0,0,0,1,1,0.0,0
M-016495,ApexCharts,src/modules/Theme.js,31,145,115,15,5,2,2,0,1,0.0,1
M-016497,ApexCharts,src/modules/Theme.js,178,198,21,8,0,3,3,1,1,0.0,0
M-016498,ApexCharts,src/modules/Theme.js,200,240,41,11,1,0,0,0,1,0.0,1
M-016500,ApexCharts,src/modules/TimeScale.js,24,278,255,17,4,10,10,2,1,0.0,1
M-016501,ApexCharts,src/modules/TimeScale.js,280,296,17,1,0,3,3,2,1,0.0,0
M-016503,ApexCharts,src/modules/TimeScale.js,346,407,62,6,2,1,1,1,1,0.0,0
M-016518,ApexCharts,src/modules/Toolbar.js,164,200,37,3,2,1,1,1,1,0.0,0
M-016532,ApexCharts,src/modules/Toolbar.js,459,476,18,4,1,2,2,1,1,0.0,0
M-016545,ApexCharts,src/modules/tooltip/Intersect.js,147,249,103,27,3,5,5,1,1,0.0,1
M-016549,ApexCharts,src/modules/tooltip/Labels.js,50,198,149,14,7,5,5,1,1,0.0,1
M-016566,ApexCharts,src/modules/tooltip/Position.js,92,123,32,4,2,1,1,1,1,0.0,0
M-016572,ApexCharts,src/modules/tooltip/Position.js,359,441,83,27,3,4,4,2,1,0.0,1
M-016577,ApexCharts,src/modules/tooltip/Tooltip.js,55,132,78,18,2,1,1,1,1,0.0,1
M-016579,ApexCharts,src/modules/tooltip/Tooltip.js,189,288,100,35,4,6,6,0,1,0.0,1
M-016593,ApexCharts,src/modules/tooltip/Tooltip.js,788,899,112,21,5,3,3,6,1,0.0,1
M-016605,ApexCharts,src/modules/tooltip/Utils.js,323,327,5,1,0,0,0,0,1,0.0,0
M-016613,ApexCharts,src/modules/ZoomPanSelection.js,233,256,24,4,1,2,2,0,3,3.0,0
M-016616,ApexCharts,src/modules/ZoomPanSelection.js,353,362,10,2,1,0,0,1,1,0.0,0
M-016628,ApexCharts,src/utils/DateTime.js,42,51,10,2,1,1,1,1,1,0.0,0
M-016637,ApexCharts,src/utils/Utils.js,6,10,5,1,2,0,0,2,1,0.0,0
M-016674,ApexCharts,src/utils/Utils.js,370,377,8,3,1,0,0,0,1,0.0,0
