ID,EMBEDDING,IS_LONG_METHOD
M-000024,-0.5018366575241089,0
M-000085,-0.9386842846870422,0
M-000086,-0.9283981323242188,0
M-000135,-0.8717379570007324,0
M-000191,-0.724898099899292,0
M-000225,-0.730670154094696,0
M-000257,-0.657339870929718,0
M-000269,-0.017488893121480942,0
M-000315,0.18875275552272797,1
M-000327,0.39814603328704834,1
M-000371,0.23569132387638092,1
M-000590,-0.9335004687309265,0
M-000598,-0.14178083837032318,0
M-000632,0.38591673970222473,1
M-000646,-0.897340714931488,0
M-000701,-0.8755147457122803,0
M-000713,-0.8608027696609497,0
M-000754,0.046032145619392395,1
M-000788,-0.7440270185470581,0
M-000839,0.34672948718070984,1
M-000846,-0.7187327146530151,0
M-000851,0.36962205171585083,1
M-000914,0.2149333953857422,1
M-001110,-0.7596609592437744,0
M-001145,-0.430434912443161,0
M-001183,0.3388722538948059,1
M-001184,0.3838340640068054,1
M-001185,0.26170578598976135,1
M-001207,-0.948449432849884,0
M-001226,-0.15893831849098206,0
M-001230,-0.8004778027534485,0
M-001281,-0.27512940764427185,0
M-001382,0.17142970860004425,0
M-001426,0.3825034201145172,1
M-001493,0.09378255903720856,1
M-001501,-0.8042371273040771,0
M-001506,-0.5792217254638672,0
M-001541,-0.9420767426490784,0
M-001571,0.13740412890911102,1
M-001578,0.3520010709762573,1
M-001584,0.27879470586776733,1
M-001679,-0.9328975677490234,0
M-001686,0.22768989205360413,1
M-001916,-0.8391233682632446,0
M-001936,-0.25628861784935,0
M-001946,-0.24112184345722198,0
M-001947,-0.90968257188797,0
M-001982,-0.7265215516090393,0
M-001983,-0.7766495943069458,0
M-002154,-0.8681520223617554,0
M-002188,-0.916864275932312,0
M-002192,0.5017105937004089,1
M-002194,-0.8652170300483704,0
M-002278,-0.9029152989387512,0
M-002294,0.3981148600578308,1
M-002325,-0.23425042629241943,0
M-002331,-0.7809838652610779,0
M-002438,-0.18007278442382812,0
M-002507,-0.5069755911827087,0
M-002657,-0.7094690203666687,0
M-002692,0.323027104139328,1
M-002720,-0.289132297039032,0
M-002722,0.1802482008934021,1
M-002727,-0.3349987268447876,0
M-002997,-0.24327079951763153,0
M-003008,-0.9083983898162842,0
M-003048,-0.22763006389141083,0
M-003160,-0.3568296730518341,0
M-003354,-0.8119409084320068,0
M-003394,0.32761406898498535,1
M-003395,-0.21218949556350708,0
M-003403,-0.2719470262527466,0
M-003410,-0.8573454022407532,0
M-003454,0.293069988489151,1
M-003496,-0.45579731464385986,0
M-003559,-0.3728926479816437,0
M-003583,0.3940368890762329,1
M-003588,-0.0009600184857845306,0
M-003612,0.09371524304151535,1
M-003667,-0.8880996704101562,0
M-003685,-0.6806412935256958,0
M-003725,-0.11983043700456619,1
M-003750,0.43876907229423523,1
M-003760,-0.4505394697189331,0
M-003825,-0.9016546607017517,0
M-003845,-0.8903884291648865,0
M-003857,-0.8901054859161377,0
M-003861,0.1286463886499405,1
M-003870,0.38053762912750244,1
M-003982,-0.8871800899505615,0
M-004080,-0.8457673788070679,0
M-004161,-0.8966906666755676,0
M-004193,-0.7862916588783264,0
M-004248,-0.888613224029541,0
M-004272,0.27946215867996216,1
M-004311,0.5559961199760437,1
M-004371,-0.880247950553894,0
M-004376,0.34464988112449646,1
M-004419,-0.3806528151035309,0
M-004475,-0.24396927654743195,0
M-004497,0.37597787380218506,1
M-004561,-0.9593802690505981,0
M-004562,-0.9208604097366333,0
M-004686,-0.9226876497268677,0
M-004692,0.05133036524057388,1
M-004809,-0.9041585922241211,0
M-004818,-0.29855161905288696,0
M-004828,-0.13728681206703186,0
M-004831,-0.23302879929542542,0
M-004839,-0.8570699691772461,0
M-004874,-0.14444375038146973,0
M-004894,-0.28218260407447815,0
M-004912,-0.7619357705116272,0
M-004925,-0.27344170212745667,0
M-004927,-0.7725710868835449,0
M-004940,-0.24120014905929565,0
M-004970,-0.39436087012290955,0
M-004985,-0.007968245074152946,0
M-004989,-0.34958600997924805,0
M-005006,-0.7477156519889832,0
M-005028,-0.20483168959617615,0
M-005037,-0.948525071144104,0
M-005074,-0.8180283904075623,0
M-005076,-0.8175997734069824,0
M-005080,0.2533857822418213,1
M-005081,0.3916618525981903,1
M-005088,-0.2843072712421417,0
M-005090,-0.2948840856552124,0
M-005092,0.08634588122367859,1
M-005101,-0.6196520924568176,0
M-005146,-0.029951345175504684,0
M-005157,-0.1472657322883606,0
M-005171,0.25939124822616577,1
M-005175,-0.2425946593284607,0
M-005205,-0.3060288429260254,0
M-005225,-0.34652483463287354,0
M-005240,-0.783160924911499,0
M-005258,-0.9502489566802979,0
M-005259,-0.8851331472396851,0
M-005266,0.496033251285553,1
M-005316,-0.36579054594039917,0
M-005335,-0.8011585474014282,0
M-005364,-0.7457427978515625,0
M-005370,-0.3292043209075928,0
M-005375,-0.47427815198898315,0
M-005386,-0.20023684203624725,0
M-005426,-0.30511152744293213,0
M-005436,-0.8922548294067383,0
M-005454,0.29625993967056274,1
M-005455,-0.21658360958099365,0
M-005460,-0.8765578269958496,0
M-005482,-0.2942242920398712,0
M-005483,-0.11304686963558197,0
M-005486,-0.26886922121047974,0
M-005498,-0.9584738612174988,0
M-005541,-0.7079545855522156,0
M-005543,-0.43408772349357605,0
M-005546,-0.17357537150382996,0
M-005625,-0.28217238187789917,0
M-005643,0.25401923060417175,1
M-005644,-0.280497282743454,0
M-005660,-0.22376994788646698,0
M-005693,-0.47552743554115295,0
M-005701,-0.8466343879699707,0
M-005702,-0.27139097452163696,0
M-005711,-0.36870577931404114,0
M-005712,-0.8859611749649048,0
M-005720,0.19279921054840088,1
M-005726,-0.37238022685050964,0
M-005732,-0.965279757976532,0
M-005743,-0.3768112063407898,0
M-005750,-0.6534324288368225,0
M-005757,-0.4136554002761841,0
M-005769,-0.9505043029785156,0
M-005770,0.2401757389307022,1
M-005771,-0.11018050462007523,0
M-005814,0.22519409656524658,1
M-005823,0.2664184868335724,1
M-005829,-0.9603478908538818,0
M-005894,0.32317808270454407,1
M-005896,0.12497422099113464,1
M-005901,-0.9179080128669739,0
M-005909,0.315304160118103,1
M-006036,-0.7479003071784973,0
M-006094,-0.34904080629348755,0
M-006143,-0.9559578895568848,0
M-006235,-0.7512028813362122,0
M-006243,0.34931039810180664,1
M-006345,0.34971925616264343,1
M-006434,0.3012838363647461,1
M-006436,0.46960943937301636,1
M-006462,-0.47694531083106995,0
M-006534,-0.35226595401763916,0
M-006544,-0.9527183175086975,0
M-006674,-0.8084848523139954,0
M-006675,0.16274888813495636,1
M-006845,-0.8823248147964478,0
M-006923,-0.7181155681610107,0
M-007182,0.2481365203857422,1
M-007191,-0.5714763402938843,0
M-007300,-0.8768510818481445,0
M-007309,-0.27911972999572754,0
M-007343,0.35456326603889465,1
M-007344,0.4880732297897339,1
M-007355,0.09938287734985352,0
M-007439,0.3045760989189148,1
M-007532,0.05368068069219589,0
M-007637,0.25332945585250854,1
M-007638,0.07368053495883942,1
M-007640,0.06370037794113159,1
M-007798,0.3864966630935669,1
M-007984,-0.29624509811401367,0
M-008014,0.32582420110702515,1
M-008067,0.36310237646102905,1
M-008107,0.2926653027534485,1
M-008108,0.5238736271858215,1
M-008125,-0.12390872091054916,0
M-008228,0.46186596155166626,1
M-008283,0.4258320927619934,1
M-008286,0.1877111941576004,1
M-008324,-0.4770439565181732,0
M-008389,-0.3296402096748352,0
M-008399,-0.28621798753738403,0
M-008550,-0.4763374328613281,0
M-008553,-0.7999774217605591,0
M-008594,-0.9641174077987671,0
M-008641,0.09886308014392853,0
M-008646,-0.02987052872776985,0
M-008716,0.18535421788692474,0
M-008797,0.1253989338874817,1
M-008817,0.28287196159362793,1
M-008983,-0.22681409120559692,0
M-009089,-0.7805032730102539,0
M-009167,0.41071152687072754,1
M-009335,0.07632413506507874,1
M-009445,0.30140992999076843,1
M-009473,0.08335111290216446,1
M-009480,0.26877790689468384,1
M-009485,-0.9221476316452026,0
M-009546,-0.7881102561950684,0
M-009761,-0.3580978512763977,0
M-009802,-0.17942163348197937,1
M-009943,-0.23496928811073303,0
M-009999,-0.2743927836418152,0
M-010063,-0.3098856508731842,0
M-010283,0.4580552279949188,1
M-010305,0.40525734424591064,1
M-010316,0.14195258915424347,1
M-010581,-0.886986255645752,0
M-010752,0.25190550088882446,1
M-010854,-0.19714397192001343,0
M-010855,-0.3059154152870178,0
M-010863,-0.41363582015037537,0
M-011096,-0.8534188270568848,0
M-011129,0.3719971477985382,1
M-011216,-0.31470319628715515,0
M-011239,0.22572050988674164,1
M-011257,-0.8841140270233154,0
M-011300,0.3931298553943634,1
M-011357,0.2807289659976959,1
M-011528,-0.6520367860794067,0
M-011531,0.18590033054351807,1
M-011535,-0.8216870427131653,0
M-011582,0.4993135333061218,1
M-011831,-0.20695078372955322,0
M-011874,-0.3960739076137543,0
M-012148,0.31277263164520264,1
M-012153,0.2674211263656616,1
M-012178,-0.9686941504478455,0
M-012189,0.23873403668403625,1
M-012219,0.41053473949432373,1
M-012260,0.3017069101333618,1
M-012299,0.14786845445632935,1
M-012326,0.05312633886933327,1
M-012328,-0.9398465156555176,0
M-012345,-0.9046111702919006,0
M-012408,-0.9452003240585327,0
M-012461,-0.3081950843334198,0
M-012529,-0.5041348934173584,0
M-012540,-0.0712502971291542,0
M-012698,0.5342638492584229,1
M-012700,0.4083692133426666,1
M-012787,0.342038094997406,1
M-012788,-0.11160425841808319,0
M-012935,-0.9657328128814697,0
M-012959,-0.005001790821552277,0
M-012973,-0.9271373152732849,0
M-013074,-0.8468360304832458,0
M-013103,-0.47883546352386475,0
M-013104,0.4663168787956238,1
M-013189,-0.7483540773391724,0
M-013190,0.3923701345920563,1
M-013205,0.08744656294584274,1
M-013273,0.24018454551696777,1
M-013346,0.39223504066467285,1
M-013358,0.0491819866001606,1
M-013365,0.3643887937068939,1
M-013371,-0.22106662392616272,0
M-013401,0.3192332088947296,1
M-013572,0.41621196269989014,1
M-013576,0.47277382016181946,1
M-013577,0.4175298511981964,1
M-013599,0.3613007068634033,1
M-013730,-0.864962100982666,0
M-013749,-0.2313254326581955,0
M-013767,0.4217134714126587,1
M-013881,-0.623335599899292,0
M-013903,-0.24400781095027924,0
M-013988,-0.8121914267539978,0
M-014111,-0.38604098558425903,0
M-014122,-0.4686031937599182,0
M-014135,-0.5000543594360352,0
M-014164,-0.9466940760612488,0
M-014308,-0.3548145294189453,0
M-014432,-0.009457888081669807,1
M-014520,0.3818894028663635,1
M-014524,0.37476566433906555,1
M-014527,0.08966397494077682,1
M-014577,0.3960031270980835,1
M-014655,0.31189215183258057,1
M-014756,-0.34620219469070435,0
M-014799,0.3820335268974304,1
M-014899,-0.11338254809379578,0
M-014916,-0.2903110384941101,0
M-014918,0.13391666114330292,1
M-014925,0.35485318303108215,1
M-014946,0.2684206962585449,1
M-014979,0.2844269275665283,1
M-014982,0.3781866133213043,1
M-015026,0.2535320818424225,1
M-015032,-0.33681243658065796,0
M-015057,0.48712778091430664,1
M-015083,0.5084261894226074,1
M-015085,-0.722600519657135,0
M-015091,0.48104745149612427,1
M-015098,0.45236608386039734,1
M-015161,0.41624176502227783,1
M-015168,0.438602089881897,1
M-015172,0.3568039536476135,1
M-015224,0.044458262622356415,1
M-015239,0.2323656529188156,1
M-015267,-0.30518093705177307,0
M-015268,0.3369024693965912,1
M-015270,0.43729424476623535,1
M-015271,0.43424493074417114,1
M-015286,-0.8104649782180786,0
M-015444,-0.3915424644947052,0
M-015517,-0.7463328838348389,0
M-015538,-0.14311838150024414,0
M-015572,0.3843907117843628,1
M-015598,-0.8990343809127808,0
M-015661,-0.16151176393032074,0
M-015701,-0.3245317041873932,0
M-015820,0.36666426062583923,1
M-015855,-0.14771127700805664,0
M-016019,-0.8147103786468506,0
M-016021,-0.8796934485435486,0
M-016072,-0.32544568181037903,0
M-016097,0.17852242290973663,1
M-016099,0.2821815609931946,1
M-016100,-0.04842718318104744,0
M-016101,0.42207610607147217,1
M-016108,0.25203341245651245,1
M-016118,-0.2491091787815094,0
M-016123,0.31717583537101746,1
M-016126,-0.37774163484573364,0
M-016134,0.2561776638031006,1
M-016135,-0.6958503127098083,0
M-016168,0.028381215408444405,0
M-016187,0.09437137842178345,1
M-016199,-0.17152099311351776,0
M-016200,-0.06980361044406891,0
M-016208,0.3345734477043152,1
M-016213,0.18705275654792786,1
M-016225,0.20950140058994293,1
M-016245,-0.2843892574310303,0
M-016258,-0.31276413798332214,0
M-016261,0.43742799758911133,1
M-016285,-0.18374153971672058,0
M-016297,0.3716190457344055,1
M-016300,-0.23951542377471924,0
M-016313,-0.7357414960861206,0
M-016322,0.3640625476837158,1
M-016326,0.3828105330467224,1
M-016344,0.3188612759113312,1
M-016348,-0.27563363313674927,0
M-016353,-0.761090874671936,0
M-016358,0.3250613808631897,1
M-016377,-0.9348877668380737,0
M-016388,-0.8415933847427368,0
M-016395,0.3373029828071594,1
M-016399,-0.08836816251277924,0
M-016409,0.37609344720840454,1
M-016411,0.12500956654548645,1
M-016423,-0.41878601908683777,0
M-016446,-0.8543655872344971,0
M-016466,0.30498379468917847,1
M-016486,-0.3275918960571289,0
M-016488,-0.16797760128974915,0
M-016495,0.24903397262096405,1
M-016497,-0.3293910026550293,0
M-016498,0.42632099986076355,1
M-016500,0.3219850957393646,1
M-016501,-0.28633251786231995,0
M-016503,-0.16787481307983398,0
M-016518,-0.39347854256629944,0
M-016532,-0.3491255044937134,0
M-016545,0.3127422630786896,1
M-016549,0.019774919375777245,1
M-016566,-0.1740715056657791,0
M-016572,0.3036631941795349,1
M-016577,0.012090863659977913,1
M-016579,0.14318270981311798,1
M-016593,0.45214712619781494,1
M-016605,-0.8932641744613647,0
M-016613,-0.15289771556854248,0
M-016616,-0.785077691078186,0
M-016628,-0.3598834276199341,0
M-016637,-0.9234382510185242,0
M-016674,-0.5382300615310669,0